         77102 function calls (76917 primitive calls) in 0.842 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      138    0.598    0.004    0.598    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.058    0.058    0.058    0.058 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.057    0.057    0.057    0.057 {method 'connect' of '_socket.socket' objects}
        3    0.034    0.011    0.034    0.011 {built-in method _socket.gethostbyname}
        1    0.019    0.019    0.057    0.057 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/builder/_lxml.py:330(feed)
        2    0.010    0.005    0.010    0.005 {method 'read' of '_io.FileIO' objects}
        1    0.008    0.008    0.008    0.008 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
     1258    0.005    0.000    0.023    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/builder/_lxml.py:223(start)
     1259    0.003    0.000    0.011    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/element.py:1152(__init__)
     1258    0.003    0.000    0.017    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/__init__.py:691(handle_starttag)
        3    0.003    0.001    0.003    0.001 {built-in method _scproxy._get_proxy_settings}
     1207    0.002    0.000    0.005    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/builder/__init__.py:285(_replace_cdata_list_attribute_values)
       31    0.002    0.000    0.002    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     2493    0.002    0.000    0.002    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/element.py:158(setup)
     1259    0.002    0.000    0.002    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/__init__.py:541(pushTag)
     1258    0.002    0.000    0.004    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/__init__.py:657(_popToTag)
      813    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
     4136    0.002    0.000    0.007    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/__init__.py:555(endData)
      650    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x105ff0d50}
     1258    0.002    0.000    0.011    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/builder/_lxml.py:278(end)
     1258    0.002    0.000    0.002    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/__init__.py:527(popTag)
7050/7031    0.001    0.000    0.001    0.000 {built-in method builtins.len}
        1    0.001    0.001    0.001    0.001 /Users/avivien/Library/Python/3.7/lib/python/site-packages/urllib3/connectionpool.py:479(close)
     5473    0.001    0.000    0.001    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/builder/_lxml.py:130(_getNsTag)
      617    0.001    0.000    0.002    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/__init__.py:589(object_was_parsed)
     5758    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
        1    0.001    0.001    0.001    0.001 /Users/avivien/Library/Python/3.7/lib/python/site-packages/requests/models.py:843(text)
      240    0.001    0.000    0.001    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/element.py:808(<genexpr>)
     1258    0.001    0.000    0.005    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/__init__.py:729(handle_endtag)
      933    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     5788    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
      212    0.001    0.000    0.001    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/__init__.py:617(_linkage_fixer)
        1    0.001    0.001    0.001    0.001 {built-in method _socket.getaddrinfo}
     4850    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      617    0.001    0.000    0.002    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/element.py:932(__new__)
     2475    0.001    0.000    0.001    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/element.py:1882(descendants)
        1    0.000    0.000    0.842    0.842 financial_enhanced.py:10(main)
       32    0.000    0.000    0.003    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/urllib3/response.py:82(decompress)
    63/11    0.000    0.000    0.182    0.017 {method 'join' of 'bytes' objects}
     1073    0.000    0.000    0.001    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/builder/_lxml.py:299(data)
     1259    0.000    0.000    0.000    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/builder/__init__.py:195(can_be_empty_element)
     1747    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      338    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/os.py:676(__getitem__)
     1253    0.000    0.000    0.000    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/__init__.py:739(handle_data)
      616    0.000    0.000    0.000    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/__init__.py:492(string_container)
     1259    0.000    0.000    0.000    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/builder/__init__.py:435(set_up_substitutions)
     1215    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
     1288    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      500    0.000    0.000    0.001    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/element.py:1330(_all_strings)
      138    0.000    0.000    0.598    0.004 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/socket.py:575(readinto)
      180    0.000    0.000    0.002    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/builder/_lxml.py:307(comment)
       52    0.000    0.000    0.170    0.003 {method 'read' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.000    0.000 {built-in method _scproxy._get_proxies}
     1338    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      350    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/_collections_abc.py:742(__iter__)
      766    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      138    0.000    0.000    0.598    0.004 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/ssl.py:1060(recv_into)
     1258    0.000    0.000    0.000    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/builder/_lxml.py:269(_prefix_for_namespace)
      330    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/os.py:699(__iter__)
      242    0.000    0.000    0.000    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/element.py:389(_last_descendant)
      245    0.000    0.000    0.001    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/element.py:275(get_text)
       52    0.000    0.000    0.170    0.003 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/http/client.py:604(_safe_read)
     10/4    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/sre_parse.py:469(_parse)
        5    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/urllib/request.py:2489(getproxies_environment)
      644    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/os.py:758(decode)
      338    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/os.py:754(encode)
      138    0.000    0.000    0.598    0.004 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/ssl.py:920(read)
        1    0.000    0.000    0.000    0.000 {method 'getpeercert' of '_ssl._SSLSocket' objects}
       31    0.000    0.000    0.171    0.006 /Users/avivien/Library/Python/3.7/lib/python/site-packages/urllib3/response.py:703(_handle_chunk)
  413/411    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       31    0.000    0.000    0.181    0.006 /Users/avivien/Library/Python/3.7/lib/python/site-packages/urllib3/response.py:725(read_chunked)
        1    0.000    0.000    0.000    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/urllib3/connectionpool.py:168(__init__)
       13    0.000    0.000    0.000    0.000 {built-in method posix.stat}
      245    0.000    0.000    0.001    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/element.py:294(<listcomp>)
    43/11    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        8    0.000    0.000    0.000    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/urllib3/util/url.py:210(_encode_invalid_chars)
        2    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
       32    0.000    0.000    0.008    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/urllib3/response.py:689(_update_chunk_length)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/ssl.py:1128(_real_close)
       19    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/urllib/parse.py:361(urlparse)
       49    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      139    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/socket.py:614(readable)
        9    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/_collections_abc.py:824(update)
      138    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
     17/4    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/sre_compile.py:71(_compile)
       43    0.000    0.000    0.428    0.010 {method 'readline' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.010    0.005 <frozen importlib._bootstrap_external>:914(get_data)
       31    0.000    0.000    0.003    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/urllib3/response.py:392(_decode)
       21    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
      138    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/email/feedparser.py:471(_parse_headers)
        3    0.000    0.000    0.035    0.012 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/urllib/request.py:2557(_proxy_bypass_macosx_sysconf)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
       92    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       22    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/urllib/parse.py:412(urlsplit)
        1    0.000    0.000    0.001    0.001 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/http/client.py:203(parse_headers)
        1    0.000    0.000    0.125    0.125 /Users/avivien/Library/Python/3.7/lib/python/site-packages/urllib3/connection.py:356(connect)
