         128073 function calls (127875 primitive calls) in 3.773 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    3.001    3.001    3.001    3.001 {built-in method time.sleep}
      136    0.543    0.004    0.543    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.061    0.061    0.061    0.061 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.058    0.058    0.058    0.058 {method 'connect' of '_socket.socket' objects}
    10603    0.010    0.000    0.010    0.000 {method 'match' of 're.Pattern' objects}
     1258    0.010    0.000    0.048    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/html/parser.py:301(parse_starttag)
        2    0.007    0.003    0.079    0.040 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/html/parser.py:134(goahead)
        1    0.006    0.006    0.006    0.006 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        3    0.004    0.001    0.004    0.001 {built-in method _scproxy._get_proxy_settings}
     1259    0.004    0.000    0.013    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/element.py:1152(__init__)
     1207    0.004    0.000    0.006    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/builder/__init__.py:285(_replace_cdata_list_attribute_values)
     1258    0.003    0.000    0.019    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/__init__.py:691(handle_starttag)
     1258    0.003    0.000    0.023    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/builder/_htmlparser.py:119(handle_starttag)
       31    0.002    0.000    0.002    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     1191    0.002    0.000    0.014    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/html/parser.py:386(parse_endtag)
     1259    0.002    0.000    0.003    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/__init__.py:541(pushTag)
     2491    0.002    0.000    0.002    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/element.py:158(setup)
     1258    0.002    0.000    0.005    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/__init__.py:657(_popToTag)
     4022    0.002    0.000    0.002    0.000 {method 'search' of 're.Pattern' objects}
     5262    0.002    0.000    0.004    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/_markupbase.py:48(updatepos)
     2877    0.002    0.000    0.007    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/__init__.py:555(endData)
      813    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
