         128047 function calls (127849 primitive calls) in 0.920 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      138    0.601    0.004    0.601    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        3    0.069    0.023    0.069    0.023 {built-in method _socket.gethostbyname}
        1    0.067    0.067    0.067    0.067 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.066    0.066    0.066    0.066 {method 'connect' of '_socket.socket' objects}
        1    0.013    0.013    0.013    0.013 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
    10602    0.010    0.000    0.010    0.000 {method 'match' of 're.Pattern' objects}
     1258    0.009    0.000    0.047    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/html/parser.py:301(parse_starttag)
        2    0.007    0.003    0.079    0.040 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/html/parser.py:134(goahead)
     1259    0.004    0.000    0.013    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/element.py:1152(__init__)
       31    0.003    0.000    0.003    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     1258    0.003    0.000    0.020    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/__init__.py:691(handle_starttag)
     1258    0.003    0.000    0.024    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/builder/_htmlparser.py:119(handle_starttag)
     1207    0.003    0.000    0.006    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/builder/__init__.py:285(_replace_cdata_list_attribute_values)
        3    0.003    0.001    0.003    0.001 {built-in method _scproxy._get_proxy_settings}
     2491    0.003    0.000    0.003    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/element.py:158(setup)
     1191    0.002    0.000    0.014    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/html/parser.py:386(parse_endtag)
     1258    0.002    0.000    0.005    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/__init__.py:657(_popToTag)
     1259    0.002    0.000    0.003    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/__init__.py:541(pushTag)
     4022    0.002    0.000    0.002    0.000 {method 'search' of 're.Pattern' objects}
